#          date               total        used        free      shared  buff/cache   available 
Sep 23 01:53:44 Mem:         257844      242762        1866           0       13215       12998
Sep 23 01:53:45 Mem:         257844      242764        1865           0       13215       12997
Sep 23 01:53:46 Mem:         257844      242765        1864           0       13215       12996
Sep 23 01:53:47 Mem:         257844      242766        1862           0       13215       12995
Sep 23 01:53:48 Mem:         257844      242767        1861           0       13215       12993
Sep 23 01:53:49 Mem:         257844      242768        1860           0       13215       12993
Sep 23 01:53:50 Mem:         257844      242768        1860           0       13215       12993
Sep 23 01:53:51 Mem:         257844      242768        1860           0       13215       12993
Sep 23 01:53:52 Mem:         257844      242769        1859           0       13215       12991
Sep 23 01:53:53 Mem:         257844      242770        1858           0       13215       12991
Sep 23 01:53:54 Mem:         257844      242769        1859           0       13215       12991
Sep 23 01:53:56 Mem:         257844      242770        1858           0       13215       12990
Sep 23 01:53:57 Mem:         257844      242769        1859           0       13215       12991
Sep 23 01:53:58 Mem:         257844      242770        1858           0       13215       12991
Sep 23 01:53:59 Mem:         257844      242772        1856           0       13215       12989
Sep 23 01:54:00 Mem:         257844      242773        1856           0       13215       12988
Sep 23 01:54:01 Mem:         257844      242773        1855           0       13215       12987
Sep 23 01:54:02 Mem:         257844      242773        1855           0       13215       12987
Sep 23 01:54:03 Mem:         257844      242782        1846           0       13215       12979
Sep 23 01:54:04 Mem:         257844      242783        1846           0       13215       12978
Sep 23 01:54:05 Mem:         257844      242783        1845           0       13215       12978
Sep 23 01:54:06 Mem:         257844      242784        1844           0       13215       12977
Sep 23 01:54:07 Mem:         257844      242786        1842           0       13215       12974
Sep 23 01:54:08 Mem:         257844      242788        1841           0       13215       12973
Sep 23 01:54:09 Mem:         257844      242789        1839           0       13215       12972
Sep 23 01:54:10 Mem:         257844      242791        1837           0       13215       12970
Sep 23 01:54:11 Mem:         257844      242794        1834           0       13215       12966
Sep 23 01:54:12 Mem:         257844      242799        1829           0       13215       12962
Sep 23 01:54:13 Mem:         257844      242801        1827           0       13215       12960
Sep 23 01:54:14 Mem:         257844      242801        1827           0       13215       12959
Sep 23 01:54:15 Mem:         257844      242802        1826           0       13215       12959
Sep 23 01:54:16 Mem:         257844      242802        1826           0       13215       12959
Sep 23 01:54:18 Mem:         257844      242802        1826           0       13215       12958
Sep 23 01:54:19 Mem:         257844      242802        1826           0       13215       12959
Sep 23 01:54:20 Mem:         257844      242803        1825           0       13215       12957
Sep 23 01:54:21 Mem:         257844      242804        1824           0       13215       12957
Sep 23 01:54:22 Mem:         257844      242804        1824           0       13215       12957
Sep 23 01:54:23 Mem:         257844      242805        1823           0       13215       12955
Sep 23 01:54:24 Mem:         257844      242805        1823           0       13215       12955
Sep 23 01:54:25 Mem:         257844      242805        1823           0       13215       12956
Sep 23 01:54:26 Mem:         257844      242806        1822           0       13215       12955
Sep 23 01:54:27 Mem:         257844      242807        1821           0       13215       12954
Sep 23 01:54:28 Mem:         257844      242807        1821           0       13215       12953
Sep 23 01:54:29 Mem:         257844      242809        1819           0       13215       12951
Sep 23 01:54:30 Mem:         257844      242809        1819           0       13215       12951
Sep 23 01:54:31 Mem:         257844      242810        1818           0       13215       12951
Sep 23 01:54:32 Mem:         257844      242810        1818           0       13215       12951
Sep 23 01:54:33 Mem:         257844      242811        1817           0       13215       12949
Sep 23 01:54:34 Mem:         257844      242809        1819           0       13215       12951
Sep 23 01:54:36 Mem:         257844      242809        1819           0       13215       12951
Sep 23 01:54:37 Mem:         257844      242810        1819           0       13215       12951
Sep 23 01:54:38 Mem:         257844      242810        1818           0       13215       12950
Sep 23 01:54:39 Mem:         257844      242811        1817           0       13215       12950
Sep 23 01:54:40 Mem:         257844      242812        1817           0       13215       12949
Sep 23 01:54:41 Mem:         257844      242811        1817           0       13215       12949
Sep 23 01:54:42 Mem:         257844      242814        1814           0       13215       12947
Sep 23 01:54:43 Mem:         257844      242815        1813           0       13215       12946
Sep 23 01:54:44 Mem:         257844      242815        1813           0       13215       12946
Sep 23 01:54:45 Mem:         257844      242815        1813           0       13215       12946
Sep 23 01:54:46 Mem:         257844      242815        1813           0       13215       12946
Sep 23 01:54:47 Mem:         257844      242817        1812           0       13215       12944
Sep 23 01:54:48 Mem:         257844      242816        1813           0       13215       12945
Sep 23 01:54:49 Mem:         257844      242816        1812           0       13215       12945
Sep 23 01:54:50 Mem:         257844      242816        1813           0       13215       12945
Sep 23 01:54:51 Mem:         257844      242817        1811           0       13215       12944
Sep 23 01:54:52 Mem:         257844      242817        1812           0       13215       12944
Sep 23 01:54:53 Mem:         257844      242816        1812           0       13215       12945
Sep 23 01:54:54 Mem:         257844      242817        1812           0       13215       12944
Sep 23 01:54:55 Mem:         257844      242817        1812           0       13215       12944
Sep 23 01:54:56 Mem:         257844      242818        1810           0       13215       12943
Sep 23 01:54:57 Mem:         257844      242819        1809           0       13215       12942
Sep 23 01:54:59 Mem:         257844      242819        1809           0       13215       12942
Sep 23 01:55:00 Mem:         257844      242819        1810           0       13215       12942
